norec,mean_SI,std_SI,week_count,min_SI,max_SI,deviation_from_overall,uniformity
1504,0.6336,0.2004,16,0.3882,0.9557,0.19896620593692027,0.7610205596646629
1505,0.7962,0.1561,16,0.6263,1.0,0.036366205936920304,0.956320343442242
1509,0.9069,0.1277,16,0.6245,1.0,0.07433379406307972,0.910717257639074
1510,0.8198,0.1523,17,0.6206,1.0,0.01276620593692035,0.9846664375206605
1523,0.9633,0.059,14,0.7798,1.0,0.13073379406307972,0.8429748972143787
1528,0.7863,0.1765,16,0.5708,0.9943,0.046266205936920324,0.9444293971974816
1532,0.8417,0.1516,17,0.6293,1.0,0.009133794063079681,0.9890293480591119
1533,0.9236,0.1306,17,0.595,1.0,0.09103379406307965,0.890658792761549
1536,0.9405,0.1124,15,0.5917,1.0,0.10793379406307968,0.8703601067477662
1539,0.8721,0.1356,17,0.6444,1.0,0.039533794063079664,0.9525157353479287
1540,0.8502,0.1437,17,0.6383,1.0,0.017633794063079633,0.9788199497681561
1543,0.8866,0.1392,17,0.6352,1.0,0.05403379406307973,0.9350997029692392
1544,0.9084,0.1247,17,0.6217,1.0,0.07583379406307966,0.9089155991171407
1561,0.8855,0.1349,17,0.6354,1.0,0.05293379406307963,0.9364209192186571
1562,0.9097,0.1269,17,0.6264,1.0,0.07713379406307963,0.9073541617314651
1563,0.8204,0.2163,17,0.3787,1.0,0.012166205936920305,0.9853871009294339
1567,0.9177,0.1522,16,0.5125,1.0,0.08513379406307964,0.8977453162811537
1568,0.9379,0.12,15,0.5707,1.0,0.10533379406307963,0.8734829815191174
1574,0.8806,0.1375,16,0.6294,1.0,0.04803379406307973,0.9423063370569728
1575,0.8902,0.1355,17,0.6259,1.0,0.05763379406307967,0.9307757225165991
1576,0.9453,0.0912,15,0.6704,1.0,0.1127337940630797,0.8645947994775793
1592,0.9233,0.1306,16,0.5741,1.0,0.09073379406307969,0.8910191244659357
1596,0.7669,0.2366,16,0.4117,1.0,0.0656662059369203,0.9211279469804765
1598,0.9135,0.1218,17,0.6183,1.0,0.08093379406307966,0.9027899601425672
1599,0.9213,0.1316,17,0.5789,1.0,0.08873379406307969,0.8934213358285135
1600,0.8916,0.1511,16,0.5505,1.0,0.059033794063079625,0.9290941745627946
1608,0.7691,0.1985,17,0.4923,1.0,0.06346620593692032,0.9237703794793122
1613,0.9322,0.1233,16,0.6149,1.0,0.0996337940630797,0.8803292839024642
1619,0.8439,0.1613,16,0.5977,1.0,0.01133379406307966,0.9863869155602764
1623,0.8211,0.2037,17,0.4574,1.0,0.01146620593692027,0.9862278749063362
1629,0.9173,0.1187,17,0.6475,1.0,0.08473379406307968,0.8982257585536693
1633,0.9182,0.1221,17,0.6354,1.0,0.0856337940630797,0.8971447634405092
1635,0.8714,0.1744,17,0.4828,1.0,0.03883379406307963,0.953356509324831
1636,0.8528,0.166,16,0.5698,1.0,0.02023379406307968,0.9756970749968049
1637,0.8117,0.1821,17,0.5651,1.0,0.020866205936920346,0.9749374815022203
1646,0.9241,0.1182,16,0.6374,1.0,0.09153379406307971,0.8900582399209045
1650,0.7541,0.1924,16,0.512,1.0,0.07846620593692033,0.9057537942599783
1652,0.8213,0.1655,16,0.5966,1.0,0.011266205936920293,0.986468096042594
1653,0.83,0.156,16,0.6194,1.0,0.0025662059369203627,0.9969177154698076
1659,0.8159,0.1834,17,0.557,1.0,0.016666205936920364,0.9799821253636337
1661,0.9078,0.1342,17,0.5793,1.0,0.07523379406307973,0.909636262525914
1662,0.7537,0.193,17,0.5152,1.0,0.07886620593692029,0.9052733519874627
1664,0.9034,0.119,17,0.6539,1.0,0.07083379406307966,0.9149211275235853
1665,0.8982,0.126,16,0.6481,1.0,0.06563379406307968,0.9211668770662877
1670,0.9151,0.1342,16,0.5612,1.0,0.0825337940630797,0.9008681910525048
1680,0.7361,0.2086,17,0.451,1.0,0.09646620593692035,0.8841338919967776
1685,0.9382,0.1292,15,0.5144,1.0,0.10563379406307971,0.8731226498147306
1688,0.9368,0.1051,17,0.6492,1.0,0.10423379406307964,0.8748041977685352
1690,0.9201,0.1203,16,0.6182,1.0,0.0875337940630797,0.8948626626460602
1691,0.8799,0.146,17,0.6046,1.0,0.04733379406307969,0.9431471110338749
1695,0.7668,0.2231,17,0.4149,1.0,0.06576620593692029,0.9210078364123476
1703,0.74,0.2389,16,0.4055,1.0,0.09256620593692033,0.8888182041538044
1715,0.6732,0.2728,17,0.3209,1.0,0.1593662059369203,0.8085843446437042
1724,0.736,0.2254,16,0.3762,1.0,0.09656620593692034,0.8840137814286487
1727,0.8319,0.1655,16,0.5883,1.0,0.0006662059369203499,0.9991998162642566
1728,0.8266,0.1917,17,0.524,1.0,0.005966205936920321,0.9928339561534253
1742,0.7228,0.2536,17,0.4036,1.0,0.10976620593692032,0.8681591864356348
1743,0.7126,0.2377,16,0.4168,1.0,0.11996620593692031,0.8559079084864879
1744,0.7014,0.248,16,0.4057,1.0,0.1311662059369203,0.8424555248560519
1745,0.7145,0.2153,16,0.447,1.0,0.1180662059369203,0.8581900092809368
1750,0.8337,0.1996,16,0.4451,1.0,0.001133794063079674,0.9986381935094234
1755,0.9583,0.0678,14,0.7471,1.0,0.12573379406307972,0.8489804256208233
1766,0.8182,0.1948,17,0.5209,1.0,0.014366205936920284,0.9827446684305984
1770,0.7558,0.2418,17,0.3917,1.0,0.0767662059369203,0.9077956739181694
1771,0.7844,0.2027,17,0.4129,1.0,0.04816620593692034,0.9421472964030326
1772,0.8013,0.1879,16,0.5347,1.0,0.03126620593692031,0.9624459824168154
1773,0.8914,0.1418,16,0.6209,1.0,0.05883379406307965,0.9293343956990524
1781,0.9178,0.1415,17,0.5276,1.0,0.08523379406307963,0.8976252057130248
1783,0.8868,0.1622,16,0.5166,1.0,0.05423379406307971,0.9348594818329814
1784,0.8743,0.1706,17,0.4802,1.0,0.04173379406307964,0.949873302849093
1785,0.9144,0.1389,16,0.5773,1.0,0.08183379406307967,0.9017089650294071
1786,0.907,0.1611,16,0.5058,1.0,0.0744337940630797,0.9105971470709451
1787,0.9116,0.1551,16,0.5056,1.0,0.07903379406307964,0.9050720609370162
1793,0.7634,0.2491,17,0.3801,1.0,0.06916620593692036,0.9169240770959652
1798,0.7451,0.2284,17,0.4057,1.0,0.08746620593692034,0.8949438431283779
1799,0.9141,0.1276,17,0.6126,1.0,0.0815337940630797,0.9020692967337938
1800,0.9009,0.1675,17,0.4856,1.0,0.06833379406307971,0.9179238917268076
1801,0.898,0.139,17,0.6131,1.0,0.0654337940630797,0.9214070982025454
1808,0.7431,0.2407,17,0.4523,1.0,0.08946620593692034,0.8925416317658
1809,0.8332,0.2187,17,0.4714,1.0,0.000633794063079729,0.9992387463500677
1812,0.8228,0.1979,17,0.5018,1.0,0.009766205936920347,0.9882697545645274
1813,0.7796,0.2121,17,0.4891,1.0,0.05296620593692036,0.9363819891328458
1821,0.9271,0.127,15,0.5791,1.0,0.09453379406307971,0.8864549228770378
1822,0.8891,0.1558,16,0.5314,1.0,0.05653379406307968,0.932096938766017
1823,0.8623,0.1602,17,0.5873,1.0,0.029733794063079633,0.9642865710245602
1824,0.9162,0.123,17,0.6288,1.0,0.08363379406307969,0.899546974803087
1828,0.9071,0.1213,16,0.6621,1.0,0.0745337940630797,0.9104770365028162
1829,0.8996,0.131,17,0.617,1.0,0.06703379406307963,0.9194853291124833
1837,0.8223,0.1849,17,0.5472,1.0,0.010266205936920292,0.987669201723883
1838,0.9078,0.1297,17,0.597,1.0,0.07523379406307973,0.909636262525914
1839,0.8575,0.1811,17,0.5169,1.0,0.024933794063079717,0.9700518782947469
1846,0.9208,0.1499,16,0.5636,1.0,0.08823379406307963,0.894021888669158
1847,0.8598,0.165,16,0.6084,1.0,0.027233794063079686,0.9672893352277824
1854,0.7505,0.2339,17,0.4505,1.0,0.08206620593692038,0.901429813807338
1855,0.8448,0.1926,17,0.4904,1.0,0.012233794063079673,0.9853059204471163
1860,0.8043,0.1688,17,0.5585,1.0,0.028266205936920308,0.9660492994606823
1861,0.8029,0.1618,16,0.6011,1.0,0.029666205936920376,0.9643677515068777
1862,0.7678,0.1792,17,0.5558,1.0,0.06476620593692028,0.9222089420936366
1867,0.7945,0.1593,17,0.5972,1.0,0.03806620593692034,0.9542784637840508
1868,0.8094,0.1565,16,0.6065,1.0,0.023166205936920314,0.9721749384352558
1871,0.7113,0.2032,16,0.4359,1.0,0.12126620593692028,0.8543464711008123
1872,0.8193,0.158,17,0.5855,1.0,0.013266205936920294,0.9840658846800162
1880,0.8173,0.1625,17,0.5631,1.0,0.015266205936920296,0.9816636733174383
1887,0.7778,0.1549,16,0.6162,1.0,0.054766205936920276,0.9342199989065259
1888,0.8225,0.1564,17,0.5918,1.0,0.010066205936920314,0.9879094228601407
1892,0.7892,0.1465,16,0.6437,1.0,0.04336620593692031,0.9479126036732195
1893,0.7832,0.1643,17,0.5913,1.0,0.049366205936920315,0.9407059695854859
1897,0.7826,0.1497,16,0.6286,1.0,0.04996620593692036,0.9399853061767125
1898,0.8268,0.1449,17,0.5998,1.0,0.005766205936920343,0.9930741772896831
1899,0.7902,0.1489,16,0.6201,1.0,0.04236620593692031,0.9491137093545085
1901,0.8148,0.1459,16,0.6339,1.0,0.017766205936920354,0.978660909114216
1902,0.7774,0.1904,17,0.5011,1.0,0.05516620593692034,0.9337395566340102
1906,0.8224,0.1619,17,0.5504,1.0,0.010166205936920303,0.9877893122920118
1907,0.7866,0.163,17,0.6053,1.0,0.04596620593692036,0.9447897289018683
1908,0.8642,0.1422,17,0.6129,1.0,0.031633794063079645,0.9620044702301112
1911,0.7861,0.1635,17,0.6072,1.0,0.0464662059369203,0.9441891760612239
1912,0.7667,0.1812,17,0.5316,1.0,0.06586620593692027,0.9208877258442187
1915,0.7596,0.1721,16,0.5303,1.0,0.07296620593692027,0.9123598755070674
1916,0.8019,0.1548,17,0.6181,1.0,0.030666205936920377,0.9631666458255888
1917,0.8148,0.151,16,0.6207,1.0,0.017766205936920354,0.978660909114216
1923,0.7766,0.1582,16,0.5872,1.0,0.055966205936920366,0.932778672088979
1924,0.7984,0.1544,17,0.628,1.0,0.034166205936920324,0.9589627759410776
1928,0.783,0.1515,16,0.6254,1.0,0.04956620593692029,0.9404657484492283
1929,0.7714,0.1613,16,0.6079,1.0,0.06116620593692035,0.9265329225462766
1930,0.8415,0.1364,16,0.6518,1.0,0.008933794063079703,0.9892695691953697
1931,0.8109,0.1453,16,0.6559,1.0,0.02166620593692037,0.9739765969571891
1937,0.7206,0.1926,17,0.4154,1.0,0.1119662059369203,0.8655167539367993
1938,0.8147,0.1567,17,0.5908,1.0,0.017866205936920343,0.9785407985460871
1943,0.8122,0.1524,17,0.6032,1.0,0.02036620593692029,0.9755380343428648
1945,0.8121,0.1518,17,0.5822,0.9986,0.02046620593692028,0.9754179237747359
1946,0.8074,0.1513,16,0.6389,1.0,0.025166205936920316,0.9697727270726779
1951,0.8617,0.1299,16,0.6593,0.9979,0.0291337940630797,0.9650072344333335
1953,0.8449,0.1366,16,0.6557,1.0,0.012333794063079662,0.9851858098789874
1958,0.8746,0.13,17,0.66,1.0,0.04203379406307972,0.9495129711447062
1960,0.8789,0.1258,17,0.6615,1.0,0.04633379406307969,0.9443482167151639
1961,0.9065,0.1237,16,0.6213,1.0,0.07393379406307965,0.9111976999115896
1970,0.8479,0.1336,17,0.6552,1.0,0.015333794063079664,0.9815824928351207
1972,0.8785,0.1248,17,0.6596,1.0,0.045933794063079625,0.9448286589876795
1974,0.8815,0.1277,16,0.6448,1.0,0.04893379406307963,0.9412253419438128
1978,0.8795,0.1331,17,0.6581,1.0,0.046933794063079626,0.9436275533063907
1979,0.8951,0.1295,17,0.6591,1.0,0.06253379406307968,0.9248903046782834
1980,0.8809,0.1305,17,0.6577,1.0,0.048333794063079694,0.9419460053525861
1981,0.8838,0.1304,17,0.6591,1.0,0.05123379406307971,0.9384627988768481
1982,0.8955,0.1306,17,0.6422,1.0,0.06293379406307964,0.9244098624057678
1983,0.8958,0.1365,17,0.6375,1.0,0.06323379406307972,0.9240495307013811
1991,0.8864,0.1377,17,0.6356,1.0,0.05383379406307964,0.935339924105497
1992,0.8861,0.1407,17,0.619,1.0,0.053533794063079676,0.9357002558098837
1993,0.8933,0.1308,16,0.6066,1.0,0.06073379406307966,0.9270522949046034
1998,0.8826,0.1321,16,0.652,1.0,0.05003379406307973,0.9399041256943949
2000,0.8938,0.1273,16,0.6401,1.0,0.061233794063079716,0.9264517420639589
2005,0.8403,0.139,16,0.6515,1.0,0.007733794063079724,0.9907108960129164
2006,0.8654,0.1381,16,0.6523,1.0,0.032833794063079624,0.9605631434125645
2007,0.8447,0.1231,17,0.6453,1.0,0.012133794063079684,0.9854260310152452
2008,0.8531,0.1395,17,0.6519,1.0,0.020533794063079647,0.9753367432924183
2011,0.8419,0.1416,16,0.6489,1.0,0.009333794063079659,0.9887891269228541
2015,0.8686,0.1378,17,0.6366,1.0,0.036033794063079716,0.9567196052324398
2016,0.8446,0.1463,17,0.6398,1.0,0.012033794063079695,0.9855461415833741
2021,0.8818,0.1331,17,0.6232,1.0,0.049233794063079706,0.940865010239426
2026,0.86,0.1584,17,0.5661,1.0,0.027433794063079664,0.9670491140915246
2027,0.8864,0.1361,16,0.5894,1.0,0.05383379406307964,0.935339924105497
